source_drive_id,source_title,source_path,mime_type,target_file_id,target_relative_folder,status,message
1xSQKwt5TiwQ3YBkatNuYoXHqJ1aSSn1X,6.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/6.jpg,image/jpeg,1QejL_2puOL4i7PR1RCbNe1BDci9dX8-5,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1_djY8TYZ6V2Y4rIIdY2geLRop0HS88qj,7.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/7.jpg,image/jpeg,19iPqlINAP9F4IUxfy-ltPtO0tOHIUJ4G,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1tkjl0xTMESSNJ7nCkPdalQY5wxVeD7K0,8.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/8.jpg,image/jpeg,1cY_fEdGDcVBJNTJpTBF_rjx5VeS0KEOS,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1uVPuAr1WqYo4_vZ7Tno3Ta56UVtJBXFz,9.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/9.jpg,image/jpeg,1WhRSYiSMa8pow0t-L0IaqUKaCzIw8afX,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1-t6VOYPFXBGa7lx-7bst4n7ZCETCEUcF,kapak.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/kapak.jpg,image/jpeg,16-HHDj4OO9FawMEQ3STX310QjbKqNGBg,Haberci Nota/***YAZISIZ ÇİZİMLER***/Haberci Nota,COPIED,
1lXe5TP4V-usFOgjoHU-x1iKRPIN0HG1q,FULL RECORD- Melodie_ der singende Spatz VO GER.wav,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME/FULL RECORD- Melodie_ der singende Spatz VO GER.wav,audio/wav,1EfnvY3YoVy9KlETzDuYRkPUfmlBdOd-m,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME,COPIED,
1peD_Cnv99lpkjbBJxYEee9YskPkEz9No,Melodie_ der singende Spatz VO 1 GER.mp3,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME/Melodie_ der singende Spatz VO 1 GER.mp3,audio/mpeg,1tZJ9shO45hlI0Hj2nI0g6jWDXIGNoHsU,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME,COPIED,
1pD08OtEyquMHFnD2IbOU9GnFUP95wTtq,Melodie_ der singende Spatz VO 10 GER.mp3,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME/Melodie_ der singende Spatz VO 10 GER.mp3,audio/mpeg,1iPpeQZMC79UzXiB2N0GtTNtN5GLpan6E,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME,COPIED,
1LQtdEn07qsXba5_avULfbqQdOfaQzein,Melodie_ der singende Spatz VO 11 GER.mp3,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME/Melodie_ der singende Spatz VO 11 GER.mp3,audio/mpeg,1k16VjFtj3pOVF1R1PsOGUfJhNi9lw7RF,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME,COPIED,
1X12uJsg0V34PNFUgnXkBdwlqhRACpRmt,Melodie_ der singende Spatz VO 12 GER.mp3,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME/Melodie_ der singende Spatz VO 12 GER.mp3,audio/mpeg,1sEn87b8ru06utMee4cjpccs1OyegHkfN,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME,COPIED,
18kdSkANbMZ-RHcNNsc5xeQzzSyVHKCff,Melodie_ der singende Spatz VO 13 GER.mp3,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME/Melodie_ der singende Spatz VO 13 GER.mp3,audio/mpeg,1BQYW8nDYmfU1WwPbg8wSdSYdhANq9pcL,Haberci Nota/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/Nota haberci güvercin - ALMANCA SESLENDİRME,COPIED,
